类型,关键词,法条,主责部门,类别
限售,孙吴,《电子商务法》第十三条  《文物保护法》（2017年）     第五十一条  公民、法人和其他组织不得买卖下列文物：     （一）国有文物，但是国家允许的除外；     （二）非国有馆藏珍贵文物；     （三）国有不可移动文物中的壁画、雕塑、建筑构件等，但是依法拆除的国有不可移动文物中的壁画、雕塑、建筑构件等不属于本法第二十条第四款规定的应由文物收藏单位收藏的除外；     （四）来源不符合本法第五十条规定的文物。     第五十六条  文物商店不得销售、拍卖企业不得拍卖本法第五十一条规定的文物。     第七十二条  未经许可，擅自设立文物商店、经营文物拍卖的拍卖企业，或者擅自从事文物的商业经营活动，尚不构成犯罪的，由工商行政管理部门依法予以制止，没收违法所得、非法经营的文物，违法经营额五万元以上的，并处违法经营额二倍以上五倍以下的罚款；违法经营额不足五万元的，并处二万元以上十万元以下的罚款。     第七十三条  有下列情形之一的，由工商行政管理部门没收违法所得、非法经营的文物，违法经营额五万元以上的，并处违法经营额一倍以上三倍以下的罚款；违法经营额不足五万元的，并处五千元以上五万元以下的罚款；情节严重的，由原发证机关吊销许可证书：     （一）文物商店从事文物拍卖经营活动的；     （二）经营文物拍卖的拍卖企业从事文物购销经营活动的；     （三）拍卖企业拍卖的文物，未经审核的；     （四）文物收藏单位从事文物的商业经营活动的。,市场监管部门,限制购销、拍卖的文物
限售,晋代,《电子商务法》第十三条  《文物保护法》（2017年）     第五十一条  公民、法人和其他组织不得买卖下列文物：     （一）国有文物，但是国家允许的除外；     （二）非国有馆藏珍贵文物；     （三）国有不可移动文物中的壁画、雕塑、建筑构件等，但是依法拆除的国有不可移动文物中的壁画、雕塑、建筑构件等不属于本法第二十条第四款规定的应由文物收藏单位收藏的除外；     （四）来源不符合本法第五十条规定的文物。     第五十六条  文物商店不得销售、拍卖企业不得拍卖本法第五十一条规定的文物。     第七十二条  未经许可，擅自设立文物商店、经营文物拍卖的拍卖企业，或者擅自从事文物的商业经营活动，尚不构成犯罪的，由工商行政管理部门依法予以制止，没收违法所得、非法经营的文物，违法经营额五万元以上的，并处违法经营额二倍以上五倍以下的罚款；违法经营额不足五万元的，并处二万元以上十万元以下的罚款。     第七十三条  有下列情形之一的，由工商行政管理部门没收违法所得、非法经营的文物，违法经营额五万元以上的，并处违法经营额一倍以上三倍以下的罚款；违法经营额不足五万元的，并处五千元以上五万元以下的罚款；情节严重的，由原发证机关吊销许可证书：     （一）文物商店从事文物拍卖经营活动的；     （二）经营文物拍卖的拍卖企业从事文物购销经营活动的；     （三）拍卖企业拍卖的文物，未经审核的；     （四）文物收藏单位从事文物的商业经营活动的。,市场监管部门,限制购销、拍卖的文物
限售,西晋,《电子商务法》第十三条  《文物保护法》（2017年）     第五十一条  公民、法人和其他组织不得买卖下列文物：     （一）国有文物，但是国家允许的除外；     （二）非国有馆藏珍贵文物；     （三）国有不可移动文物中的壁画、雕塑、建筑构件等，但是依法拆除的国有不可移动文物中的壁画、雕塑、建筑构件等不属于本法第二十条第四款规定的应由文物收藏单位收藏的除外；     （四）来源不符合本法第五十条规定的文物。     第五十六条  文物商店不得销售、拍卖企业不得拍卖本法第五十一条规定的文物。     第七十二条  未经许可，擅自设立文物商店、经营文物拍卖的拍卖企业，或者擅自从事文物的商业经营活动，尚不构成犯罪的，由工商行政管理部门依法予以制止，没收违法所得、非法经营的文物，违法经营额五万元以上的，并处违法经营额二倍以上五倍以下的罚款；违法经营额不足五万元的，并处二万元以上十万元以下的罚款。     第七十三条  有下列情形之一的，由工商行政管理部门没收违法所得、非法经营的文物，违法经营额五万元以上的，并处违法经营额一倍以上三倍以下的罚款；违法经营额不足五万元的，并处五千元以上五万元以下的罚款；情节严重的，由原发证机关吊销许可证书：     （一）文物商店从事文物拍卖经营活动的；     （二）经营文物拍卖的拍卖企业从事文物购销经营活动的；     （三）拍卖企业拍卖的文物，未经审核的；     （四）文物收藏单位从事文物的商业经营活动的。,市场监管部门,限制购销、拍卖的文物
限售,东晋,《电子商务法》第十三条  《文物保护法》（2017年）     第五十一条  公民、法人和其他组织不得买卖下列文物：     （一）国有文物，但是国家允许的除外；     （二）非国有馆藏珍贵文物；     （三）国有不可移动文物中的壁画、雕塑、建筑构件等，但是依法拆除的国有不可移动文物中的壁画、雕塑、建筑构件等不属于本法第二十条第四款规定的应由文物收藏单位收藏的除外；     （四）来源不符合本法第五十条规定的文物。     第五十六条  文物商店不得销售、拍卖企业不得拍卖本法第五十一条规定的文物。     第七十二条  未经许可，擅自设立文物商店、经营文物拍卖的拍卖企业，或者擅自从事文物的商业经营活动，尚不构成犯罪的，由工商行政管理部门依法予以制止，没收违法所得、非法经营的文物，违法经营额五万元以上的，并处违法经营额二倍以上五倍以下的罚款；违法经营额不足五万元的，并处二万元以上十万元以下的罚款。     第七十三条  有下列情形之一的，由工商行政管理部门没收违法所得、非法经营的文物，违法经营额五万元以上的，并处违法经营额一倍以上三倍以下的罚款；违法经营额不足五万元的，并处五千元以上五万元以下的罚款；情节严重的，由原发证机关吊销许可证书：     （一）文物商店从事文物拍卖经营活动的；     （二）经营文物拍卖的拍卖企业从事文物购销经营活动的；     （三）拍卖企业拍卖的文物，未经审核的；     （四）文物收藏单位从事文物的商业经营活动的。,市场监管部门,限制购销、拍卖的文物
限售,十六国,《电子商务法》第十三条  《文物保护法》（2017年）     第五十一条  公民、法人和其他组织不得买卖下列文物：     （一）国有文物，但是国家允许的除外；     （二）非国有馆藏珍贵文物；     （三）国有不可移动文物中的壁画、雕塑、建筑构件等，但是依法拆除的国有不可移动文物中的壁画、雕塑、建筑构件等不属于本法第二十条第四款规定的应由文物收藏单位收藏的除外；     （四）来源不符合本法第五十条规定的文物。     第五十六条  文物商店不得销售、拍卖企业不得拍卖本法第五十一条规定的文物。     第七十二条  未经许可，擅自设立文物商店、经营文物拍卖的拍卖企业，或者擅自从事文物的商业经营活动，尚不构成犯罪的，由工商行政管理部门依法予以制止，没收违法所得、非法经营的文物，违法经营额五万元以上的，并处违法经营额二倍以上五倍以下的罚款；违法经营额不足五万元的，并处二万元以上十万元以下的罚款。     第七十三条  有下列情形之一的，由工商行政管理部门没收违法所得、非法经营的文物，违法经营额五万元以上的，并处违法经营额一倍以上三倍以下的罚款；违法经营额不足五万元的，并处五千元以上五万元以下的罚款；情节严重的，由原发证机关吊销许可证书：     （一）文物商店从事文物拍卖经营活动的；     （二）经营文物拍卖的拍卖企业从事文物购销经营活动的；     （三）拍卖企业拍卖的文物，未经审核的；     （四）文物收藏单位从事文物的商业经营活动的。,市场监管部门,限制购销、拍卖的文物
限售,南北朝,《电子商务法》第十三条  《文物保护法》（2017年）     第五十一条  公民、法人和其他组织不得买卖下列文物：     （一）国有文物，但是国家允许的除外；     （二）非国有馆藏珍贵文物；     （三）国有不可移动文物中的壁画、雕塑、建筑构件等，但是依法拆除的国有不可移动文物中的壁画、雕塑、建筑构件等不属于本法第二十条第四款规定的应由文物收藏单位收藏的除外；     （四）来源不符合本法第五十条规定的文物。     第五十六条  文物商店不得销售、拍卖企业不得拍卖本法第五十一条规定的文物。     第七十二条  未经许可，擅自设立文物商店、经营文物拍卖的拍卖企业，或者擅自从事文物的商业经营活动，尚不构成犯罪的，由工商行政管理部门依法予以制止，没收违法所得、非法经营的文物，违法经营额五万元以上的，并处违法经营额二倍以上五倍以下的罚款；违法经营额不足五万元的，并处二万元以上十万元以下的罚款。     第七十三条  有下列情形之一的，由工商行政管理部门没收违法所得、非法经营的文物，违法经营额五万元以上的，并处违法经营额一倍以上三倍以下的罚款；违法经营额不足五万元的，并处五千元以上五万元以下的罚款；情节严重的，由原发证机关吊销许可证书：     （一）文物商店从事文物拍卖经营活动的；     （二）经营文物拍卖的拍卖企业从事文物购销经营活动的；     （三）拍卖企业拍卖的文物，未经审核的；     （四）文物收藏单位从事文物的商业经营活动的。,市场监管部门,限制购销、拍卖的文物
限售,南朝,《电子商务法》第十三条  《文物保护法》（2017年）     第五十一条  公民、法人和其他组织不得买卖下列文物：     （一）国有文物，但是国家允许的除外；     （二）非国有馆藏珍贵文物；     （三）国有不可移动文物中的壁画、雕塑、建筑构件等，但是依法拆除的国有不可移动文物中的壁画、雕塑、建筑构件等不属于本法第二十条第四款规定的应由文物收藏单位收藏的除外；     （四）来源不符合本法第五十条规定的文物。     第五十六条  文物商店不得销售、拍卖企业不得拍卖本法第五十一条规定的文物。     第七十二条  未经许可，擅自设立文物商店、经营文物拍卖的拍卖企业，或者擅自从事文物的商业经营活动，尚不构成犯罪的，由工商行政管理部门依法予以制止，没收违法所得、非法经营的文物，违法经营额五万元以上的，并处违法经营额二倍以上五倍以下的罚款；违法经营额不足五万元的，并处二万元以上十万元以下的罚款。     第七十三条  有下列情形之一的，由工商行政管理部门没收违法所得、非法经营的文物，违法经营额五万元以上的，并处违法经营额一倍以上三倍以下的罚款；违法经营额不足五万元的，并处五千元以上五万元以下的罚款；情节严重的，由原发证机关吊销许可证书：     （一）文物商店从事文物拍卖经营活动的；     （二）经营文物拍卖的拍卖企业从事文物购销经营活动的；     （三）拍卖企业拍卖的文物，未经审核的；     （四）文物收藏单位从事文物的商业经营活动的。,市场监管部门,限制购销、拍卖的文物
限售,北朝,《电子商务法》第十三条  《文物保护法》（2017年）     第五十一条  公民、法人和其他组织不得买卖下列文物：     （一）国有文物，但是国家允许的除外；     （二）非国有馆藏珍贵文物；     （三）国有不可移动文物中的壁画、雕塑、建筑构件等，但是依法拆除的国有不可移动文物中的壁画、雕塑、建筑构件等不属于本法第二十条第四款规定的应由文物收藏单位收藏的除外；     （四）来源不符合本法第五十条规定的文物。     第五十六条  文物商店不得销售、拍卖企业不得拍卖本法第五十一条规定的文物。     第七十二条  未经许可，擅自设立文物商店、经营文物拍卖的拍卖企业，或者擅自从事文物的商业经营活动，尚不构成犯罪的，由工商行政管理部门依法予以制止，没收违法所得、非法经营的文物，违法经营额五万元以上的，并处违法经营额二倍以上五倍以下的罚款；违法经营额不足五万元的，并处二万元以上十万元以下的罚款。     第七十三条  有下列情形之一的，由工商行政管理部门没收违法所得、非法经营的文物，违法经营额五万元以上的，并处违法经营额一倍以上三倍以下的罚款；违法经营额不足五万元的，并处五千元以上五万元以下的罚款；情节严重的，由原发证机关吊销许可证书：     （一）文物商店从事文物拍卖经营活动的；     （二）经营文物拍卖的拍卖企业从事文物购销经营活动的；     （三）拍卖企业拍卖的文物，未经审核的；     （四）文物收藏单位从事文物的商业经营活动的。,市场监管部门,限制购销、拍卖的文物
限售,北魏,《电子商务法》第十三条  《文物保护法》（2017年）     第五十一条  公民、法人和其他组织不得买卖下列文物：     （一）国有文物，但是国家允许的除外；     （二）非国有馆藏珍贵文物；     （三）国有不可移动文物中的壁画、雕塑、建筑构件等，但是依法拆除的国有不可移动文物中的壁画、雕塑、建筑构件等不属于本法第二十条第四款规定的应由文物收藏单位收藏的除外；     （四）来源不符合本法第五十条规定的文物。     第五十六条  文物商店不得销售、拍卖企业不得拍卖本法第五十一条规定的文物。     第七十二条  未经许可，擅自设立文物商店、经营文物拍卖的拍卖企业，或者擅自从事文物的商业经营活动，尚不构成犯罪的，由工商行政管理部门依法予以制止，没收违法所得、非法经营的文物，违法经营额五万元以上的，并处违法经营额二倍以上五倍以下的罚款；违法经营额不足五万元的，并处二万元以上十万元以下的罚款。     第七十三条  有下列情形之一的，由工商行政管理部门没收违法所得、非法经营的文物，违法经营额五万元以上的，并处违法经营额一倍以上三倍以下的罚款；违法经营额不足五万元的，并处五千元以上五万元以下的罚款；情节严重的，由原发证机关吊销许可证书：     （一）文物商店从事文物拍卖经营活动的；     （二）经营文物拍卖的拍卖企业从事文物购销经营活动的；     （三）拍卖企业拍卖的文物，未经审核的；     （四）文物收藏单位从事文物的商业经营活动的。,市场监管部门,限制购销、拍卖的文物
限售,东魏,《电子商务法》第十三条  《文物保护法》（2017年）     第五十一条  公民、法人和其他组织不得买卖下列文物：     （一）国有文物，但是国家允许的除外；     （二）非国有馆藏珍贵文物；     （三）国有不可移动文物中的壁画、雕塑、建筑构件等，但是依法拆除的国有不可移动文物中的壁画、雕塑、建筑构件等不属于本法第二十条第四款规定的应由文物收藏单位收藏的除外；     （四）来源不符合本法第五十条规定的文物。     第五十六条  文物商店不得销售、拍卖企业不得拍卖本法第五十一条规定的文物。     第七十二条  未经许可，擅自设立文物商店、经营文物拍卖的拍卖企业，或者擅自从事文物的商业经营活动，尚不构成犯罪的，由工商行政管理部门依法予以制止，没收违法所得、非法经营的文物，违法经营额五万元以上的，并处违法经营额二倍以上五倍以下的罚款；违法经营额不足五万元的，并处二万元以上十万元以下的罚款。     第七十三条  有下列情形之一的，由工商行政管理部门没收违法所得、非法经营的文物，违法经营额五万元以上的，并处违法经营额一倍以上三倍以下的罚款；违法经营额不足五万元的，并处五千元以上五万元以下的罚款；情节严重的，由原发证机关吊销许可证书：     （一）文物商店从事文物拍卖经营活动的；     （二）经营文物拍卖的拍卖企业从事文物购销经营活动的；     （三）拍卖企业拍卖的文物，未经审核的；     （四）文物收藏单位从事文物的商业经营活动的。,市场监管部门,限制购销、拍卖的文物
限售,西魏,《电子商务法》第十三条  《文物保护法》（2017年）     第五十一条  公民、法人和其他组织不得买卖下列文物：     （一）国有文物，但是国家允许的除外；     （二）非国有馆藏珍贵文物；     （三）国有不可移动文物中的壁画、雕塑、建筑构件等，但是依法拆除的国有不可移动文物中的壁画、雕塑、建筑构件等不属于本法第二十条第四款规定的应由文物收藏单位收藏的除外；     （四）来源不符合本法第五十条规定的文物。     第五十六条  文物商店不得销售、拍卖企业不得拍卖本法第五十一条规定的文物。     第七十二条  未经许可，擅自设立文物商店、经营文物拍卖的拍卖企业，或者擅自从事文物的商业经营活动，尚不构成犯罪的，由工商行政管理部门依法予以制止，没收违法所得、非法经营的文物，违法经营额五万元以上的，并处违法经营额二倍以上五倍以下的罚款；违法经营额不足五万元的，并处二万元以上十万元以下的罚款。     第七十三条  有下列情形之一的，由工商行政管理部门没收违法所得、非法经营的文物，违法经营额五万元以上的，并处违法经营额一倍以上三倍以下的罚款；违法经营额不足五万元的，并处五千元以上五万元以下的罚款；情节严重的，由原发证机关吊销许可证书：     （一）文物商店从事文物拍卖经营活动的；     （二）经营文物拍卖的拍卖企业从事文物购销经营活动的；     （三）拍卖企业拍卖的文物，未经审核的；     （四）文物收藏单位从事文物的商业经营活动的。,市场监管部门,限制购销、拍卖的文物
限售,北齐,《电子商务法》第十三条  《文物保护法》（2017年）     第五十一条  公民、法人和其他组织不得买卖下列文物：     （一）国有文物，但是国家允许的除外；     （二）非国有馆藏珍贵文物；     （三）国有不可移动文物中的壁画、雕塑、建筑构件等，但是依法拆除的国有不可移动文物中的壁画、雕塑、建筑构件等不属于本法第二十条第四款规定的应由文物收藏单位收藏的除外；     （四）来源不符合本法第五十条规定的文物。     第五十六条  文物商店不得销售、拍卖企业不得拍卖本法第五十一条规定的文物。     第七十二条  未经许可，擅自设立文物商店、经营文物拍卖的拍卖企业，或者擅自从事文物的商业经营活动，尚不构成犯罪的，由工商行政管理部门依法予以制止，没收违法所得、非法经营的文物，违法经营额五万元以上的，并处违法经营额二倍以上五倍以下的罚款；违法经营额不足五万元的，并处二万元以上十万元以下的罚款。     第七十三条  有下列情形之一的，由工商行政管理部门没收违法所得、非法经营的文物，违法经营额五万元以上的，并处违法经营额一倍以上三倍以下的罚款；违法经营额不足五万元的，并处五千元以上五万元以下的罚款；情节严重的，由原发证机关吊销许可证书：     （一）文物商店从事文物拍卖经营活动的；     （二）经营文物拍卖的拍卖企业从事文物购销经营活动的；     （三）拍卖企业拍卖的文物，未经审核的；     （四）文物收藏单位从事文物的商业经营活动的。,市场监管部门,限制购销、拍卖的文物
限售,北周,《电子商务法》第十三条  《文物保护法》（2017年）     第五十一条  公民、法人和其他组织不得买卖下列文物：     （一）国有文物，但是国家允许的除外；     （二）非国有馆藏珍贵文物；     （三）国有不可移动文物中的壁画、雕塑、建筑构件等，但是依法拆除的国有不可移动文物中的壁画、雕塑、建筑构件等不属于本法第二十条第四款规定的应由文物收藏单位收藏的除外；     （四）来源不符合本法第五十条规定的文物。     第五十六条  文物商店不得销售、拍卖企业不得拍卖本法第五十一条规定的文物。     第七十二条  未经许可，擅自设立文物商店、经营文物拍卖的拍卖企业，或者擅自从事文物的商业经营活动，尚不构成犯罪的，由工商行政管理部门依法予以制止，没收违法所得、非法经营的文物，违法经营额五万元以上的，并处违法经营额二倍以上五倍以下的罚款；违法经营额不足五万元的，并处二万元以上十万元以下的罚款。     第七十三条  有下列情形之一的，由工商行政管理部门没收违法所得、非法经营的文物，违法经营额五万元以上的，并处违法经营额一倍以上三倍以下的罚款；违法经营额不足五万元的，并处五千元以上五万元以下的罚款；情节严重的，由原发证机关吊销许可证书：     （一）文物商店从事文物拍卖经营活动的；     （二）经营文物拍卖的拍卖企业从事文物购销经营活动的；     （三）拍卖企业拍卖的文物，未经审核的；     （四）文物收藏单位从事文物的商业经营活动的。,市场监管部门,限制购销、拍卖的文物
限售,南朝宋,《电子商务法》第十三条  《文物保护法》（2017年）     第五十一条  公民、法人和其他组织不得买卖下列文物：     （一）国有文物，但是国家允许的除外；     （二）非国有馆藏珍贵文物；     （三）国有不可移动文物中的壁画、雕塑、建筑构件等，但是依法拆除的国有不可移动文物中的壁画、雕塑、建筑构件等不属于本法第二十条第四款规定的应由文物收藏单位收藏的除外；     （四）来源不符合本法第五十条规定的文物。     第五十六条  文物商店不得销售、拍卖企业不得拍卖本法第五十一条规定的文物。     第七十二条  未经许可，擅自设立文物商店、经营文物拍卖的拍卖企业，或者擅自从事文物的商业经营活动，尚不构成犯罪的，由工商行政管理部门依法予以制止，没收违法所得、非法经营的文物，违法经营额五万元以上的，并处违法经营额二倍以上五倍以下的罚款；违法经营额不足五万元的，并处二万元以上十万元以下的罚款。     第七十三条  有下列情形之一的，由工商行政管理部门没收违法所得、非法经营的文物，违法经营额五万元以上的，并处违法经营额一倍以上三倍以下的罚款；违法经营额不足五万元的，并处五千元以上五万元以下的罚款；情节严重的，由原发证机关吊销许可证书：     （一）文物商店从事文物拍卖经营活动的；     （二）经营文物拍卖的拍卖企业从事文物购销经营活动的；     （三）拍卖企业拍卖的文物，未经审核的；     （四）文物收藏单位从事文物的商业经营活动的。,市场监管部门,限制购销、拍卖的文物
限售,南朝齐,《电子商务法》第十三条  《文物保护法》（2017年）     第五十一条  公民、法人和其他组织不得买卖下列文物：     （一）国有文物，但是国家允许的除外；     （二）非国有馆藏珍贵文物；     （三）国有不可移动文物中的壁画、雕塑、建筑构件等，但是依法拆除的国有不可移动文物中的壁画、雕塑、建筑构件等不属于本法第二十条第四款规定的应由文物收藏单位收藏的除外；     （四）来源不符合本法第五十条规定的文物。     第五十六条  文物商店不得销售、拍卖企业不得拍卖本法第五十一条规定的文物。     第七十二条  未经许可，擅自设立文物商店、经营文物拍卖的拍卖企业，或者擅自从事文物的商业经营活动，尚不构成犯罪的，由工商行政管理部门依法予以制止，没收违法所得、非法经营的文物，违法经营额五万元以上的，并处违法经营额二倍以上五倍以下的罚款；违法经营额不足五万元的，并处二万元以上十万元以下的罚款。     第七十三条  有下列情形之一的，由工商行政管理部门没收违法所得、非法经营的文物，违法经营额五万元以上的，并处违法经营额一倍以上三倍以下的罚款；违法经营额不足五万元的，并处五千元以上五万元以下的罚款；情节严重的，由原发证机关吊销许可证书：     （一）文物商店从事文物拍卖经营活动的；     （二）经营文物拍卖的拍卖企业从事文物购销经营活动的；     （三）拍卖企业拍卖的文物，未经审核的；     （四）文物收藏单位从事文物的商业经营活动的。,市场监管部门,限制购销、拍卖的文物
限售,南朝梁,《电子商务法》第十三条  《文物保护法》（2017年）     第五十一条  公民、法人和其他组织不得买卖下列文物：     （一）国有文物，但是国家允许的除外；     （二）非国有馆藏珍贵文物；     （三）国有不可移动文物中的壁画、雕塑、建筑构件等，但是依法拆除的国有不可移动文物中的壁画、雕塑、建筑构件等不属于本法第二十条第四款规定的应由文物收藏单位收藏的除外；     （四）来源不符合本法第五十条规定的文物。     第五十六条  文物商店不得销售、拍卖企业不得拍卖本法第五十一条规定的文物。     第七十二条  未经许可，擅自设立文物商店、经营文物拍卖的拍卖企业，或者擅自从事文物的商业经营活动，尚不构成犯罪的，由工商行政管理部门依法予以制止，没收违法所得、非法经营的文物，违法经营额五万元以上的，并处违法经营额二倍以上五倍以下的罚款；违法经营额不足五万元的，并处二万元以上十万元以下的罚款。     第七十三条  有下列情形之一的，由工商行政管理部门没收违法所得、非法经营的文物，违法经营额五万元以上的，并处违法经营额一倍以上三倍以下的罚款；违法经营额不足五万元的，并处五千元以上五万元以下的罚款；情节严重的，由原发证机关吊销许可证书：     （一）文物商店从事文物拍卖经营活动的；     （二）经营文物拍卖的拍卖企业从事文物购销经营活动的；     （三）拍卖企业拍卖的文物，未经审核的；     （四）文物收藏单位从事文物的商业经营活动的。,市场监管部门,限制购销、拍卖的文物
限售,南朝陈,《电子商务法》第十三条  《文物保护法》（2017年）     第五十一条  公民、法人和其他组织不得买卖下列文物：     （一）国有文物，但是国家允许的除外；     （二）非国有馆藏珍贵文物；     （三）国有不可移动文物中的壁画、雕塑、建筑构件等，但是依法拆除的国有不可移动文物中的壁画、雕塑、建筑构件等不属于本法第二十条第四款规定的应由文物收藏单位收藏的除外；     （四）来源不符合本法第五十条规定的文物。     第五十六条  文物商店不得销售、拍卖企业不得拍卖本法第五十一条规定的文物。     第七十二条  未经许可，擅自设立文物商店、经营文物拍卖的拍卖企业，或者擅自从事文物的商业经营活动，尚不构成犯罪的，由工商行政管理部门依法予以制止，没收违法所得、非法经营的文物，违法经营额五万元以上的，并处违法经营额二倍以上五倍以下的罚款；违法经营额不足五万元的，并处二万元以上十万元以下的罚款。     第七十三条  有下列情形之一的，由工商行政管理部门没收违法所得、非法经营的文物，违法经营额五万元以上的，并处违法经营额一倍以上三倍以下的罚款；违法经营额不足五万元的，并处五千元以上五万元以下的罚款；情节严重的，由原发证机关吊销许可证书：     （一）文物商店从事文物拍卖经营活动的；     （二）经营文物拍卖的拍卖企业从事文物购销经营活动的；     （三）拍卖企业拍卖的文物，未经审核的；     （四）文物收藏单位从事文物的商业经营活动的。,市场监管部门,限制购销、拍卖的文物
限售,刘宋,《电子商务法》第十三条  《文物保护法》（2017年）     第五十一条  公民、法人和其他组织不得买卖下列文物：     （一）国有文物，但是国家允许的除外；     （二）非国有馆藏珍贵文物；     （三）国有不可移动文物中的壁画、雕塑、建筑构件等，但是依法拆除的国有不可移动文物中的壁画、雕塑、建筑构件等不属于本法第二十条第四款规定的应由文物收藏单位收藏的除外；     （四）来源不符合本法第五十条规定的文物。     第五十六条  文物商店不得销售、拍卖企业不得拍卖本法第五十一条规定的文物。     第七十二条  未经许可，擅自设立文物商店、经营文物拍卖的拍卖企业，或者擅自从事文物的商业经营活动，尚不构成犯罪的，由工商行政管理部门依法予以制止，没收违法所得、非法经营的文物，违法经营额五万元以上的，并处违法经营额二倍以上五倍以下的罚款；违法经营额不足五万元的，并处二万元以上十万元以下的罚款。     第七十三条  有下列情形之一的，由工商行政管理部门没收违法所得、非法经营的文物，违法经营额五万元以上的，并处违法经营额一倍以上三倍以下的罚款；违法经营额不足五万元的，并处五千元以上五万元以下的罚款；情节严重的，由原发证机关吊销许可证书：     （一）文物商店从事文物拍卖经营活动的；     （二）经营文物拍卖的拍卖企业从事文物购销经营活动的；     （三）拍卖企业拍卖的文物，未经审核的；     （四）文物收藏单位从事文物的商业经营活动的。,市场监管部门,限制购销、拍卖的文物
限售,萧齐,《电子商务法》第十三条  《文物保护法》（2017年）     第五十一条  公民、法人和其他组织不得买卖下列文物：     （一）国有文物，但是国家允许的除外；     （二）非国有馆藏珍贵文物；     （三）国有不可移动文物中的壁画、雕塑、建筑构件等，但是依法拆除的国有不可移动文物中的壁画、雕塑、建筑构件等不属于本法第二十条第四款规定的应由文物收藏单位收藏的除外；     （四）来源不符合本法第五十条规定的文物。     第五十六条  文物商店不得销售、拍卖企业不得拍卖本法第五十一条规定的文物。     第七十二条  未经许可，擅自设立文物商店、经营文物拍卖的拍卖企业，或者擅自从事文物的商业经营活动，尚不构成犯罪的，由工商行政管理部门依法予以制止，没收违法所得、非法经营的文物，违法经营额五万元以上的，并处违法经营额二倍以上五倍以下的罚款；违法经营额不足五万元的，并处二万元以上十万元以下的罚款。     第七十三条  有下列情形之一的，由工商行政管理部门没收违法所得、非法经营的文物，违法经营额五万元以上的，并处违法经营额一倍以上三倍以下的罚款；违法经营额不足五万元的，并处五千元以上五万元以下的罚款；情节严重的，由原发证机关吊销许可证书：     （一）文物商店从事文物拍卖经营活动的；     （二）经营文物拍卖的拍卖企业从事文物购销经营活动的；     （三）拍卖企业拍卖的文物，未经审核的；     （四）文物收藏单位从事文物的商业经营活动的。,市场监管部门,限制购销、拍卖的文物
限售,萧梁,《电子商务法》第十三条  《文物保护法》（2017年）     第五十一条  公民、法人和其他组织不得买卖下列文物：     （一）国有文物，但是国家允许的除外；     （二）非国有馆藏珍贵文物；     （三）国有不可移动文物中的壁画、雕塑、建筑构件等，但是依法拆除的国有不可移动文物中的壁画、雕塑、建筑构件等不属于本法第二十条第四款规定的应由文物收藏单位收藏的除外；     （四）来源不符合本法第五十条规定的文物。     第五十六条  文物商店不得销售、拍卖企业不得拍卖本法第五十一条规定的文物。     第七十二条  未经许可，擅自设立文物商店、经营文物拍卖的拍卖企业，或者擅自从事文物的商业经营活动，尚不构成犯罪的，由工商行政管理部门依法予以制止，没收违法所得、非法经营的文物，违法经营额五万元以上的，并处违法经营额二倍以上五倍以下的罚款；违法经营额不足五万元的，并处二万元以上十万元以下的罚款。     第七十三条  有下列情形之一的，由工商行政管理部门没收违法所得、非法经营的文物，违法经营额五万元以上的，并处违法经营额一倍以上三倍以下的罚款；违法经营额不足五万元的，并处五千元以上五万元以下的罚款；情节严重的，由原发证机关吊销许可证书：     （一）文物商店从事文物拍卖经营活动的；     （二）经营文物拍卖的拍卖企业从事文物购销经营活动的；     （三）拍卖企业拍卖的文物，未经审核的；     （四）文物收藏单位从事文物的商业经营活动的。,市场监管部门,限制购销、拍卖的文物
限售,陈朝,《电子商务法》第十三条  《文物保护法》（2017年）     第五十一条  公民、法人和其他组织不得买卖下列文物：     （一）国有文物，但是国家允许的除外；     （二）非国有馆藏珍贵文物；     （三）国有不可移动文物中的壁画、雕塑、建筑构件等，但是依法拆除的国有不可移动文物中的壁画、雕塑、建筑构件等不属于本法第二十条第四款规定的应由文物收藏单位收藏的除外；     （四）来源不符合本法第五十条规定的文物。     第五十六条  文物商店不得销售、拍卖企业不得拍卖本法第五十一条规定的文物。     第七十二条  未经许可，擅自设立文物商店、经营文物拍卖的拍卖企业，或者擅自从事文物的商业经营活动，尚不构成犯罪的，由工商行政管理部门依法予以制止，没收违法所得、非法经营的文物，违法经营额五万元以上的，并处违法经营额二倍以上五倍以下的罚款；违法经营额不足五万元的，并处二万元以上十万元以下的罚款。     第七十三条  有下列情形之一的，由工商行政管理部门没收违法所得、非法经营的文物，违法经营额五万元以上的，并处违法经营额一倍以上三倍以下的罚款；违法经营额不足五万元的，并处五千元以上五万元以下的罚款；情节严重的，由原发证机关吊销许可证书：     （一）文物商店从事文物拍卖经营活动的；     （二）经营文物拍卖的拍卖企业从事文物购销经营活动的；     （三）拍卖企业拍卖的文物，未经审核的；     （四）文物收藏单位从事文物的商业经营活动的。,市场监管部门,限制购销、拍卖的文物
